Timestamp,Usia,Jenis Kelamin,Lama Mondok,Teks,Seberapa sering Anda merasakan hal berikut saat cerita yang Anda tuliskan terjadi?  [Saya merasa sulit untuk beristirahat.],Seberapa sering Anda merasakan hal berikut saat cerita yang Anda tuliskan terjadi?  [Saya cenderung menunjukkan reaksi berlebihan terhadap suatu situasi.],Seberapa sering Anda merasakan hal berikut saat cerita yang Anda tuliskan terjadi?  [Saya merasa energi saya terkuras karena terlalu cemas.],Seberapa sering Anda merasakan hal berikut saat cerita yang Anda tuliskan terjadi?  [Saya merasa gelisah.],Seberapa sering Anda merasakan hal berikut saat cerita yang Anda tuliskan terjadi?  [Saya merasa sulit untuk merasa tenang.],Seberapa sering Anda merasakan hal berikut saat cerita yang Anda tuliskan terjadi?  [Saya sulit untuk bersabar dalam menghadapi gangguan yang terjadi ketika sedang melakukan sesuatu.],Seberapa sering Anda merasakan hal berikut saat cerita yang Anda tuliskan terjadi?  [Perasaan saya mudah tergugah atau tersentuh.],Skor
25/06/2026,14,Laki-Laki,<1 Tahun,Teman yang tidak memiliki frekuensi yang sama,1,2,0,2,1,1,2,18
25/06/2026,14,Laki-Laki,>3 Tahun,Nyuci baju dan mengikuti peraturan ,2,0,1,1,0,1,1,12
25/06/2026,14,Laki-Laki,1-3 tahun,jadwal yang begitu padat dan kebiasaan di pondok yang gak pernah berubah. itu itu aja terus,1,1,0,0,1,0,1,8
25/06/2026,14,Laki-Laki,>3 Tahun,"Bosen karen tidak adanya kegiatan yang terstruktur apalagi di saat"" Jam kosong seperti sore dan malam hari. ",2,2,1,3,2,2,0,24
25/06/2026,14,Laki-Laki,1-3 tahun,"kadang bisa dari temen ntah itu bully yang biasanya berlindung di kata jokes ""jokes doang ellah"", dari itu merasa ga ga betah aja...apalagi lingkungan yang kurang dukung buat berkembang, sebenernya passion kita bukan di tahfidz tapi malah masuk pondok wkwkwk yaudah bertahan aja selama 3 tahun🤧",2,1,2,1,1,0,2,18
25/06/2026,14,Laki-Laki,>3 Tahun,"1. Jauh dari keluarga
2. Pasilitas pondok yg biasa2 saja/ minus
3. Kebanyakan aktivitas membuat jarang tidur",1,1,1,2,2,2,2,22
25/06/2026,14,Perempuan,1-3 tahun,"Sosial terutama, terkadang hafalan.",1,1,2,1,1,0,3,18
25/06/2026,14,Laki-Laki,1-3 tahun,Mau healing saat jenuh di pondok dengan jajan tapi kadang makanan kantin mahal,2,1,2,2,2,2,2,26
25/06/2026,14,Laki-Laki,1-3 tahun,ada yang mengambil pulpen saya secara tidak izin dan ada yang membuang sampah sembarangan di asrama,1,1,2,0,0,1,3,16
25/06/2026,14,Laki-Laki,1-3 tahun,Teman yang buruk di Lingkungan pesantren,2,0,1,1,1,0,1,12
25/06/2026,14,Laki-Laki,1-3 tahun,Gk bisa tidur nyenyak(berisik) ,2,2,0,0,0,0,0,8
25/06/2026,14,Laki-Laki,1-3 tahun,"Anak"" yg bandel dan susah di atur, banyak pencurian, kurangnya penekanan adab, banyak santri yg tidak bisa berubah walaupun sudah diberi tahu berkali kali, masih banyak pembullyan, banyak santri yang menormalisasikan pembullyan, kenakalan, dan banyak juga yang merasa bangga dengan apa yang tidak sepantasnya dilakukan dan terkadang juga ada santri yang melakukan hal yang tak pantas secara terang terangan di depan teman temannya, banyak geng geng an, banyak senioritas, banyak yang masih tidak peduli tentang sholat, Al Qur'an dll tentang ibadan, memang saya sudah muak dengan semuanya dan memang masih banyak lagi hal yang belum saya ucapkan tentang keluh kesah di pesantren la royba. Pondok pesantren la royba membutuhkan ustadz/ustadzah yang bisa lebih tegas untuk memajukan la royba lebih baik kedepannya ",1,1,0,1,1,2,3,18
25/06/2026,13,Laki-Laki,1-3 tahun,asramanya panas kurang kipas dan banyak baju yang ilang dan ada yg ngambil makanan tanpa izin,2,2,0,1,1,1,1,16
25/06/2026,14,Laki-Laki,1-3 tahun,Ustadz Nya rata² men jengkel kan,2,2,1,0,2,2,1,20
25/06/2026,14,Laki-Laki,>3 Tahun,Pelajaran yang susah saya fahami membuat saya tertekan di pondok serta ust yang memberikan sedikit nilai atau pelit nilai sehingga saya terus memikirkan tentang nilai,2,1,3,3,1,0,0,20
25/06/2026,12,Perempuan,1-3 tahun,paling hukuman tapi karena kesalahan ,1,0,0,0,0,1,2,8
25/06/2026,13,Perempuan,1-3 tahun,Paling hukuman tapi itu karena kesalahan kita sendiri,1,0,0,0,0,0,2,6
25/06/2026,14,Laki-Laki,>3 Tahun,"Jauh dari keluarga, terutama saat sedang menghadapi tantangan akademik, sering kali memicu rasa kesepian yang mendalam. Ketidakmampuan untuk pulang kapan saja saat merasa burnout adalah beban emosional yang nyata.",2,2,3,2,3,0,3,30
25/06/2026,14,Perempuan,1-3 tahun,"hafalan, sumpah cape tapi seru tapi setres gitu, tapi seru banget tapi setres",1,0,0,0,0,0,0,2
25/06/2026,13,Laki-Laki,>3 Tahun,Tertinggal dari yang lain baik dari hafalan pelajaran dan lain lain,1,1,0,0,0,1,2,10
25/06/2026,14,Perempuan,>3 Tahun,Pernah di ledek fisik sama temen sendiri trus juga disana temen nya pada main circle² an dan juga kyk merasa tertinggal dengan proses orang lain,2,1,1,1,2,1,2,20
25/06/2026,14,Laki-Laki,>3 Tahun,Terlalu banyak hafalan sehingga jadi beban,1,1,2,1,2,1,1,18
25/06/2026,17,Perempuan,1-3 tahun,Aturan yang ketat dan jadwal yang padat,2,1,1,1,2,1,2,20
25/06/2026,14,Laki-Laki,>3 Tahun,Saya sering dihomoin sama pegawai cuci piring ,0,0,0,0,0,0,0,0
25/06/2026,16,Perempuan,1-3 tahun,Kangen suasana rumah dan keluarga,3,1,1,1,2,1,3,24
25/06/2026,14,Perempuan,>3 Tahun,"Sejujurnya seru bangettttttttt mondok tuuh 
Dan ana sangat bersyukur bisa mondok.soalnya banyak banget kegiatan yang ga bikin boring dan selalu ana nantikan salah satunya QLS itu tu nginep di mbs itu tu adanya 2 tahun sekali beruntungnya angkatan ana dapet 2 kali pas kelas 1 sama pas kelas 3 nanti,  apalagi kalo pondok moderen kayak di LA ROYBA pokoknya the beast banget deh soalny paket komplit gitu dari mulai penerapan bahasa inggris dan arab dalam kegiatan sehari - hari ya walaupun sedikit²
😃😃. Sama ada menghafal qurannya jadi kita bisa berbahasa plus ngasih mahkota ke orang tua di akhirat kelak.
Dan alhamdulillah walaupun hafalan ana belum sampe 30 juz tapi masyaallah kerasa banget kenikmatan menghafal quran ya walau kadang kadang suka down/cape karena hafalanya nggk masuk²/males tapi lebih dominan kalau pas lagi halaqah terus ada yang ngajak ngobrol pasti keterusan atau ketiduran pas halaqoh subuh tapi saat² ana kayak gitu pasti selalu ada teman yang ngasih suport begitu juga dengan ustadzah
Tapi kadang ana kesal sama orang yang susah di ingetin ( padahal kadang ana juga sama) tapi itu lebih batu kalo di ingetin *batu nya tu ngebatu banget* padahal ana suka ngingetin "" kan kita dah jadi isla(ikatan santri la royba)ayolah turunin dulu ego kalian dulu takut adik kelas kita ngikutin, coba Nanti apa kata mereka kalo semisalnya kakak kelasnya aja gini"" 
Mungkin segitu dulu ya syuran kasiran sudah membolehkan bercerita #kapan-kapan lagi#
Bye 👋👋",1,2,1,1,3,1,3,24
25/06/2026,15,Laki-Laki,1-3 tahun,"Rasa Stres ketika Kami membangun Bisnis Londri dan Di tegur oleh pak warno dan Ngamuk² Gajelas , Seketika Itu Kami Langsung Di bawa ke kantor Dan Langsung Membuat Surat pernyataan...",2,1,0,0,0,0,0,6
25/06/2026,17,Laki-Laki,1-3 tahun,Menurut  saya selama saya mondok di pusat pendidikan Islam  mukharrikun najaah 3 tahun ini Alhamdulillah saya jarang merasakan yang namanya stress atau tertekan dan segala macam lah akan tetapi ada beberapa yang membuat saya itu kurang nyaman dalam kemarin mondok yang pertama adalah kurangnya waktu buat menghafal Alquran ya saya harap bisa ditambahkan lagi waktu untuk menghafal alqurannya dan yang kedua adalah kurangnya fasilitas olahraga saya sebagai penghobi olahraga itu sangat kecewa pas pertama kali datang tidak ada lapangan sama sekali dan sangat kaget dan jalannya waktu lapangan udah jadi tapi lapanganya nggak bagus membuat kaki rusak nggak halus dan kasar-kasar jadi kurang mengenakan lah jadi nggak betah gitu ya Saya harap kedepannya bisa lebih baik lagi lah ya yang ketiga adalah soal musytif yaa musyrif itu kurang galak menurut saya dan peraturannya kurang ketat di pondok kita jadi santrinya tuh pada bandel-bandel-remehin gtu jadi lebih galak lagi supaya santrinya pada nurut nurut sekian dan terima kasih assalamualaikum warahmatullahi wabarakatuh,0,0,0,0,0,0,0,0
25/06/2026,14,Laki-Laki,>3 Tahun,"Seru seru aja, tekanannya masih ok, stress nya juga bukan yang gk ada jalan keluarnya. Paling peraturan gk boleh belanja di luar pondok. ",0,1,1,0,0,0,1,6
25/06/2026,13,Laki-Laki,1-3 tahun,"Tidak target hafalan boros uang 
",0,1,0,0,0,0,1,4
25/06/2026,16,Laki-Laki,1-3 tahun,"Penggunaan hp dibatasi,jadinya kudet",2,0,0,1,2,1,0,12
25/06/2026,14,Laki-Laki,>3 Tahun,Iya enjoy aja krna d pondok pesantren emng hrus bisa mngikuti smuany trutama dlam pljaran agama,0,1,0,0,0,1,3,10
25/06/2026,15,Laki-Laki,>3 Tahun,Yang paling berat atau sering membuat ku tertekan adalah teman asrama atau rasa kangen yang membebani pikiran sya selama di pondok,2,1,0,0,1,1,0,10
25/06/2026,15,Laki-Laki,1-3 tahun,Tidak ada sama sekali sekali lagi tidak adaaa,0,0,0,0,0,0,0,0
25/06/2026,14,Laki-Laki,1-3 tahun,"Hafalan,dan tertekan kepada ustadz yang main tangan atau fisik",2,2,2,1,2,1,0,20
25/06/2026,15,Laki-Laki,1-3 tahun,jadwal belajar yg sangat padat,3,0,2,2,1,0,0,16
26/06/2026,14,Laki-Laki,1-3 tahun,"saya berat untuk menghafal alquran, tetapi saya akan tetap berusaha menghafalnya",3,0,0,2,2,2,1,20
26/06/2026,17,Perempuan,>3 Tahun,"Tidak afa privasi,kamar bareng sama orang lain,begitu juga sebaliknya",2,0,0,1,2,1,0,12
26/06/2026,18,Perempuan,>3 Tahun,"Ada pikiran bisa lulus nggk ya,mengingat bebannya terlalu berat",2,1,0,2,2,2,2,22
26/06/2026,16,Laki-Laki,<1 Tahun,"bada rasanya bener-bener pegel, abis kegiatan pondok sampai tidur pun aku sering kebangun gara gara urat kaki ketarik.",2,2,0,1,3,2,0,20
26/06/2026,14,Laki-Laki,>3 Tahun,Sulit beradaptasi dengan teman sekamar yang berbeda kebiasanya,1,1,0,1,2,3,0,16
26/06/2026,19,Perempuan,>3 Tahun,anak kamar ada yang susah bgttt dibilanginn,1,3,0,0,0,3,1,16
26/06/2026,17,Laki-Laki,1-3 tahun,"Kurang  nyaman,nggk bebas buat rebahan atau istirahat,main hp ,ngagk bisa jajan sepuasnya",2,2,0,0,1,0,0,10
26/06/2026,15,Laki-Laki,1-3 tahun,Nggak bisa main HP susah untuk keluar asrama,2,1,2,0,2,3,2,24
26/06/2026,17,Perempuan,1-3 tahun,dag dig dug saking kagetnya pas tiba-tiba ada sidak kamar dadakan tengah malam,1,1,2,2,2,1,0,18
26/06/2026,15,Laki-Laki,1-3 tahun,"Target hapalah,tajwid ,kitab,,kalau nggak hapal harus ngulang",1,2,1,2,3,2,3,28
26/06/2026,14,Laki-Laki,>3 Tahun,"Nggak bisa menyalurkan hobi lama seperri bermusik,bola dll",2,0,0,2,1,2,0,14
26/06/2026,18,Laki-Laki,>3 Tahun,Suka jengkel dikit kalau sabun mandi di ember tiba-tiba habis padahal seingatku kemarin masih lumayan ada,1,2,0,0,1,1,0,10
26/06/2026,17,Perempuan,1-3 tahun,"Kangen masakan rumah ,makanan pondok banyak yang nggak cocok",1,0,0,0,1,0,3,10
